        Corr.   Lasso   Linear_reg      MIC     RF      RFE     Ridge   Stability       Mean
Var1    0.0	0.0     0.0     0.01    0.0     0.68    0.03    0.0     0.09
Var2    0.0     0.0     0.2     0.0     0.0     0.71    0.0     0.0     0.11
Var3    0.0     0.0     0.0     0.01    0.0     0.3     0.0     0.0     0.04
Var4    0.0     0.0     0.35    0.0     0.0     0.72    0.0     0.0     0.13
Var5    0.0     0.0     0.0     0.04    0.0     0.08    0.0     0.0     0.01
Var6    0.0     0.0     0.0     0.19    0.04    0.19    0.0     0.0     0.05
Var7    0.09    0.01    0.0     0.03    0.01    0.53    0.01    0.0     0.09
Var9    0.0     0.0     0.0     0.02    0.0     0.69    0.01    0.0     0.09
Var10   0.01    0.0     0.0     0.03    0.0     0.05    0.0     0.0     0.01
Var11   0.04    0.0     0.0     0.02    0.0     0.47    0.02    0.0     0.07
Var12   0.0     0.0     0.0     0.0     0.0     0.45    0.0     0.0     0.06
Var13   0.01    0.0     0.0     0.21    0.03    0.19    0.0     0.0     0.06
Var14   0.0     0.0     0.0     0.0     0.0     0.57    0.07    0.0     0.08
Var16   0.01    0.0     0.0     0.06    0.0     0.45    0.0     0.0     0.07
Var17   0.0     0.0     0.0     0.01    0.0     0.79    0.03    0.0     0.1
Var18   0.01    0.0     0.0     0.01    0.0     0.77    0.0     0.0     0.1
Var19   0.0     0.0     0.01    0.0     0.0     0.96    0.01    0.0     0.12
Var21   0.0     0.0     0.0     0.16    0.01    0.32    0.0     0.0     0.06
Var22   0.0     0.0     0.0     0.16    0.01    0.65    0.0     0.0     0.1
Var23   0.0     0.0     0.0     0.01    0.0     0.82    0.02    0.0     0.11
Var24   0.02    0.0     0.0     0.06    0.01    0.35    0.0     0.0     0.06
Var25   0.02    0.0     0.0     0.1     0.02    0.64    0.0     0.0     0.1
Var26   0.0     0.0     0.0     0.0     0.0     0.85    0.09    0.0     0.12
Var27   0.0     0.0     0.01    0.0     0.0     0.87    0.09    0.0     0.12
Var28   0.13    0.01    0.0     0.5     0.2     0.46    0.0     0.0     0.16
Var29   0.0     0.0     0.0     0.0     0.0     0.99    0.04    0.0     0.13
Var30   0.01    0.0     0.0     0.01    0.0     0.99    0.04    0.0     0.13
Var33   0.0     0.0     0.0     0.02    0.0     0.11    0.0     0.0     0.02
Var34   0.01    0.0     0.0     0.01    0.0     1.0     0.03    0.0     0.13
Var35   0.03    0.0     0.0     0.01    0.0     0.91    0.01    0.0     0.12
Var36   0.02    0.0     0.0     0.03    0.0     0.09    0.0     0.0     0.02
Var37   0.01    0.0     0.0     0.03    0.0     0.17    0.0     0.0     0.03
Var38   0.07    0.0     0.0     0.26    0.03    0.04    0.0     0.0     0.05
Var40   0.0     0.0     0.0     0.01    0.0     0.73    0.0     0.0     0.09
Var41   0.01    0.0     0.0     0.01    0.0     0.68    0.0     0.0     0.09
Var43   0.0     0.0     0.0     0.01    0.0     0.74    0.02    0.0     0.1
Var44   0.0     0.0     0.0     0.0     0.0     0.88    0.0     0.0     0.11
Var45   0.0     0.0     0.0     0.02    0.0     0.32    0.0     0.0     0.04
Var46   0.01    0.0     0.0     0.01    0.0     0.75    0.01    0.0     0.1
Var47   0.01    0.0     0.0     0.0     0.0     0.52    0.0     0.0     0.07
Var49   0.0     0.0     0.0     0.0     0.0     1.0     0.01    0.0     0.13
Var50   0.0     0.0     0.0     0.01    0.0     0.41    0.0     0.0     0.05
Var51   0.01    0.0     0.0     0.13    0.0     0.21    0.0     0.0     0.04
Var53   0.01    0.0     0.0     0.02    0.0     0.09    0.0     0.0     0.01
Var54   0.0     0.0     0.0     0.0     0.0     1.0     0.03    0.0     0.13
Var56   0.01    0.0     0.0     0.01    0.0     0.14    0.0     0.0     0.02
